sample_id,organism.x,total.x,duplicates,mapped,mean,max_ct,bc_amp_cycles,pooled,cap_lib_conc,amisuccessful,percent_bases_above_15,mapped_in_baited_region,frac_mapped
AN17-277-T_S41,anthrax,4213457,90440,720135,9.95,25,7,1,1.44,no,16.1,716089,0.170913101
AN17-330-S_S7,anthrax,6004188,85220,121321,0.34,34,6,0,0.39,no,0.3,135103,0.020206063
AN17-338-S_S6,anthrax,7389871,1186596,6594645,85.71,26,6,0,3.02,yes,99.9,6589638,0.892389732
AN17-381-T_S24,anthrax,2112649,4548,57683,0.71,28,7,1,1.29,no,0,58798,0.027303636
AN17-384-S_S32,anthrax,4341887,415209,2389531,29.64,27,7,1,1.41,yes,93.3,2398817,0.550343894
AN17-387-S_S33,anthrax,5370605,429649,2058779,22.33,25,7,1,1.51,no,73.4,2141475,0.3833421
AN17-394-T_S40,anthrax,2099888,80677,888284,12.83,26,7,1,1.41,no,34.5,882618,0.423014942
AN17-398-S_S34,anthrax,4401305,319040,3591529,50.75,25,7,1,1.29,yes,98.3,3589129,0.816014568
AN17-399-T_S26,anthrax,4326346,178274,3184052,47.22,20,7,1,1.92,yes,91.2,3199795,0.735967951
AN17-400-S_S28,anthrax,4483980,94459,656505,7.52,26,7,1,1.44,no,6,665586,0.146411224
AN17-42-T_S5,anthrax,1354712,97347,755694,10.07,25,6,1,36,no,18.2,755737,0.557826313
AN17-47_S31,anthrax,2271741,775362,1701777,13.46,26,6,0,0.39,no,38.2,1701454,0.749106962
AN18-404-T_S16,anthrax,3294048,76790,643268,8.34,24,7,1,2.97,no,12,649431,0.195281915
AN18-405-T_S14,anthrax,3975589,151702,3157845,44.47,20,7,1,2.97,yes,96.8,3169297,0.794308718
AN18-408-S_S11,anthrax,7997345,466489,651501,2.26,33,6,0,0.36,no,0.7,683439,0.081464661
AN18-409-T_S15,anthrax,4842260,180436,1152487,14.82,24,7,1,1.92,no,43.9,1158488,0.238006014
AN18-410-S_S9,anthrax,6911668,1011817,4997098,62.84,24,6,0,2.12,yes,99.7,5016338,0.722994507
AN18-410-T_S8,anthrax,10579050,2916675,6611692,57.57,28,6,0,0.89,yes,99.5,6642645,0.624979748
AN18-415-B_S20,anthrax,8813842,1895624,3180357,19.77,30,6,0,1.05,no,61.3,3197806,0.360836625
AN18-415-S_S21,anthrax,7526118,2266277,6885766,73.67,27,6,0,2.38,yes,99.9,6866283,0.91491603
AN18-416-S_S18,anthrax,7636545,1988206,5547323,56.69,26,6,0,1.77,yes,99.3,5529666,0.726417902
AN18-416-T_S19,anthrax,6326252,857712,2003167,17.8,28,6,0,1.28,no,53.3,1986815,0.316643567
AN18-417-S_S17,anthrax,1219789,54867,1112564,16.53,27,6,0,2.32,no,51.2,1125314,0.912095453
AN18-418-T_S10,anthrax,5395161,465574,3057055,41.26,22,6,0,3.28,yes,98.6,3049301,0.566629059
AN18-419-T_S16,anthrax,6873562,415177,6430905,95.8,20,6,0,3.2,yes,99.9,6434982,0.935600057
AN18-420-T_S17,anthrax,4209906,108823,745077,9.4,25,7,1,1.41,no,13.9,751097,0.176981861
AN18-421-T_S7,anthrax,4290436,108779,1408460,18.14,23,7,1,3.24,no,59,1426460,0.328278991
AN18-423-T_S38,anthrax,4287752,132141,1426619,20.5,25,7,1,1.41,no,68.5,1420521,0.33271957
AN18-427-S_S36,anthrax,3788617,377844,1385902,14.77,28,7,1,1.41,no,45.5,1388291,0.365806837
AN18-428-T_S27,anthrax,7683731,445557,2091519,23.74,25,7,1,1.29,no,78.8,2100443,0.272200966
AN18-431-T_S13,anthrax,4011748,409942,3200812,43.04,24,7,1,2.97,yes,96.4,3201623,0.797859686
AN18-432-T_S23,anthrax,6413796,561362,1585675,13,27,7,1,1.41,no,16.9,1758974,0.247228786
AN18-433-T_S25,anthrax,4616999,175806,4066886,56.88,23,7,1,2.97,yes,98.7,4129923,0.880850527
AN18-434-T_S6,anthrax,4270431,142044,1265470,16.38,23,7,1,1.44,no,51.3,1266661,0.296333087
AN18-436-T_S12,anthrax,5793992,33794,175047,1.85,27,7,1,1.51,no,0.1,178628,0.030211813
AN18-437-S_S35,anthrax,4438962,92350,4188571,62.72,22,7,1,3.24,yes,99.7,4170668,0.943592443
AN18-438-T_S42,anthrax,4291321,223210,3333694,49.54,24,7,1,1.88,yes,99.3,3310976,0.776845638
AN18-440-T_S8,anthrax,2208572,27762,316414,4.18,27,7,1,3.24,no,0.3,315823,0.143266328
AN18-447-B_S31,anthrax,19550082,1510846,18998952,280.28,24,6,0,8.3,yes,100,18953713,0.971809325
AN18-447-S_S30,anthrax,14047951,1381539,13399928,191.82,24,6,0,4.2,yes,100,13368343,0.953870639
ANTH2-T_S43,anthrax,20795796,1943690,20544338,295.09,23,6,0,14.2,yes,100,20401721,0.987908229
ANTH4-T_S44,anthrax,6596944,501666,5453425,78.11,25,6,0,2.3,yes,99.9,5496437,0.826659283
anthrax-raw_S11,anthrax,20079678,891437,19798580,294.37,20,5,0,13.6,yes,100,19720538,0.986000871
LNA-1S-T_S2,anthrax,5830171,3755378,4810614,16.38,35,5,0,0.3,no,47.5,4802618,0.825123997
