sample_id,organism.x,total.x,duplicates,mapped,mean,max_ct,bc_amp_cycles,cap_lib_conc,amisuccessful,%_bases_above_15,frac_mapped
09B03105_S60,mycoplasma,3084644,153647,770216,43.89,26.38,NA,1.02,yes,87.2,0.2496936437397638
09B03871_S62,mycoplasma,3520187,389530,2447637,148.16,25.27,NA,1.54,yes,95.1,0.695314481872696
09B04230_S55,mycoplasma,1728087,79108,1381749,90.76,24.45,NA,3.34,yes,91.7,0.7995830071055451
09B04400_S74,mycoplasma,3263838,670832,1729527,75.85,27.8,NA,0.662,yes,92.1,0.5299058960646944
09B04923_S63,mycoplasma,3124570,249989,1566095,94.16,25.64,NA,1.95,yes,93,0.5012193677850072
09B05223_S75,mycoplasma,3395242,50453,429469,27.08,28.01,NA,2.24,yes,80.7,0.12649142535347996
09B05312_S56,mycoplasma,2975270,64002,806723,53.13,26.06,NA,0.922,yes,86.7,0.2711427870411761
09B05333_S70,mycoplasma,3369259,264966,2007535,123.36,25.27,NA,2.42,yes,94.4,0.5958387289311983
09B05567_S18,mycoplasma,1084569,159168,200488,2.69,32.75,NA,1.08,no,0.3,0.184854997699547
09B05813_S57,mycoplasma,1863585,102392,1511307,100.98,24.85,NA,2.9,yes,91.2,0.8109675705696279
09B06142_S47,mycoplasma,3004699,7996,36078,1.59,31.1,NA,0.998,no,0,0.01200719273378132
09B07585_S52,mycoplasma,3287418,197368,498859,20.95,30.18,NA,0.488,yes,69.2,0.1517479675538675
09B08129_S53,mycoplasma,2510560,116772,344064,15.85,31.14,NA,0.552,yes,55,0.1370467146772035
09B10127_S48,mycoplasma,2875653,269839,1040109,54.92,28.71,NA,0.77,yes,89,0.3616948915602821
09B10514_S83,mycoplasma,3088196,25002,118117,6.23,32.61,NA,1.83,yes,2.8,0.03824789618275524
09B11236_S84,mycoplasma,3242544,197518,712302,37.04,29.27,NA,1.09,yes,86,0.21967381167379688
09B11424_S49,mycoplasma,2764595,30270,117093,5.77,29.46,NA,0.53,yes,2.3,0.0423544859192757
09B11840_S79,mycoplasma,2462853,464974,1907509,103.81,27.56,NA,0.59,yes,92.8,0.7745119176824602
09B12007_S65,mycoplasma,4247924,637301,1028265,26.81,30.13,NA,0.262,yes,78.1,0.24206294651222574
09B12477_S80,mycoplasma,1990679,118479,1664403,113.21,20.25,NA,3.12,yes,92,0.8360981353598446
09B13235_S19,mycoplasma,2839243,166081,207754,2.69,33.43,NA,1.08,no,0.1,0.07317232093202308
09B13397_S66,mycoplasma,4182933,494531,921188,29.91,30.47,NA,0.384,yes,80.3,0.2202253777433203
09B13724_S67,mycoplasma,2660216,95423,252014,10.38,29.75,NA,0.416,yes,24,0.0947344125439438
10B00844_S54,mycoplasma,2059195,547210,885263,23.46,32.12,NA,0.192,yes,74.9,0.42990731815102506
10B00921_S50,mycoplasma,2832314,90061,360525,18.75,28.76,NA,1,yes,66.7,0.12728991206483461
10B01749_S64,mycoplasma,2714150,449592,963193,36.48,31.4,NA,0.364,yes,84.1,0.3548783228635116
10B02215_S61,mycoplasma,3732845,392339,1121101,52.15,28.35,NA,0.712,yes,89.7,0.3003341954996792
10B03149_S85,mycoplasma,3220469,1342541,1871095,37.65,30.93,NA,0.186,yes,87.2,0.5810007797000996
10B03341_S71,mycoplasma,3191491,71793,403914,23.02,26.96,NA,1.71,yes,76.4,0.1265596550327104
10B03623_S86,mycoplasma,3060233,596192,1953999,97.83,28.13,NA,1.01,yes,93.5,0.6385131458944466
10B04567_S81,mycoplasma,2222703,88201,253891,11.12,29.22,NA,0.442,yes,29,0.11422623715359181
10B04745_S88,mycoplasma,2205202,259836,1802829,111.34,22.05,NA,1.14,yes,92.2,0.8175346294806553
10B05371_S68,mycoplasma,3945770,935244,1724087,55.78,29.53,NA,0.414,yes,90.6,0.4369456405213685
10B05468_S69,mycoplasma,3692068,524111,3053463,183.05,26.12,NA,1.43,yes,95.8,0.8270332507418606
10B06036_S76,mycoplasma,3230388,480402,1776104,93.01,27.32,NA,0.696,yes,93.8,0.5498113539302399
10B06532_S77,mycoplasma,2488993,135050,828513,50.03,27.01,NA,0.97,yes,87.6,0.33287076339708466
10B06604_S78,mycoplasma,3677997,47485,107538,3.67,32.92,NA,0.484,no,0.4,0.029238196768512862
10B07249_S89,mycoplasma,1820258,8896,22250,0.65,31.18,NA,0.326,no,0,0.012223541937461613
16P00665_S90,mycoplasma,2818733,9018,18873,0.22,33.83,NA,0.406,no,0,0.006695561445514705
16P00684_S91,mycoplasma,1863475,16441,34346,0.81,32.55,NA,0.244,no,0,0.018431156844068205
17P00199_S92,mycoplasma,1753354,119101,408393,19.16,28.54,NA,0.532,yes,66.2,0.23292101880167954
17P00326_S93,mycoplasma,1082454,282843,469131,12.24,31.59,NA,0.152,yes,36.1,0.43339578402407863
