sample_id,carcass_id,sequence_project_id,library_prep_batch,pool,date_collected,species,sample_type,max_ct,ct_1,ct_2,ct_3,sample_conc_ng_ul,neb_protocol,fragmentation_incubation,bc_amp_cycles,init_lib_conc,concentration_of_lib_performed,new_lib_conc_ng_ul,amplification_cycles_bait_capture,cap_lib_conc,cap_lib_reamp,polyomics,organism.x,total.x,duplicates,mapped,X,mean,granular_third_quartile,granular_median,granular_first_quartile,%_bases_above_15,filename,organism.y,amisuccessful,frac_mapped,frac_duplicates,total.y
AN18-408-S,AN18-408,1447,2,NA,22/01/2018,wildebeest,swab,33,32,32,33,3.64,Chapter 1,8 min,6,49.4,,,12,0.36,yes,,anthrax,7997345,466489,651501,NA,2.26,4,2,2,0.7,AN18-408-S_S11 ,anthrax,no,0.08146466108439739,0.05833048342918806,10476108
AN18-419-T,AN18-419,1447,2,NA,25/01/2018,wildebeest,tissue,20,19,19,20,24.5,Chapter 1,8 min,6,50.8,,,12,3.2,,,anthrax,6873562,415177,6430905,NA,95.8,118,94,72,99.9,AN18-419-T_S16 ,anthrax,yes,0.9356000571464984,0.060402015723434226,444310629
AN18-417-S,AN18-417,1447,2,NA,24/01/2018,wildebeest,swab,27,24,25,27,2.3,Chapter 1,8 min,6,29,,,12,2.32,yes,,anthrax,1219789,54867,1112564,NA,16.53,23,16,11,51.2,AN18-417-S_S17 ,anthrax,no,0.9120954525741747,0.044980730273842445,76679542
AN18-416-S,AN18-416,1447,2,NA,24/01/2018,zebra,swab,26,26,26,26,2.2,Chapter 1,8 min,6,34.2,,,12,1.77,yes,,anthrax,7636545,1988206,5547323,NA,56.69,71,55,42,99.3,AN18-416-S_S18 ,anthrax,yes,0.7264179023367243,0.2603541261133143,262925919
AN18-416-T,AN18-416,1447,2,NA,24/01/2018,zebra,tissue,28,28,26,27,7.8,Chapter 1,8 min,6,36.2,,,12,1.28,yes,,anthrax,6326252,857712,2003167,NA,17.8,25,16,10,53.3,AN18-416-T_S19 ,anthrax,no,0.3166435671547703,0.13557980301764774,82564753
AN18-415-B,AN18-415,1447,2,NA,23/01/2018,zebra,blood,30,29,29,30,1,Chapter 1,8 min,6,33.8,,,12,1.05,yes,,anthrax,8813842,1895624,3180357,NA,19.77,26,18,12,61.3,AN18-415-B_S20 ,anthrax,no,0.36083662493609486,0.21507351731515043,91709277
AN18-415-S,AN18-415,1447,2,NA,23/01/2018,zebra,swab,27,27,27,27,1,Chapter 1,8 min,6,21.6,,,12,2.38,yes,,anthrax,7526118,2266277,6885766,NA,73.67,90,73,58,99.9,AN18-415-S_S21 ,anthrax,yes,0.9149160297513274,0.30112164066521413,341672241
AN16-174-T,AN16-174,1447,2,NA,14/12/2016,zebra,tissue,21,21,20,21,25.4,Chapter 1,8 min,6,63.2,,,12,2.9,,,anthrax,7194857,583643,6068261,NA,86.93,106,85,66,99.9,AN16-174-T_S28 ,anthrax,yes,0.8434164848585594,0.08111947186719624,403173094
AN16-06-I,AN16-06,1447,2,NA,29/04/2017,sheep,insect,37,37,35,35,0.55,Chapter 1,8 min,6,8.7,yes,5.92,12,0.37,yes,,anthrax,7981644,3141259,3594698,NA,6.57,10,7,4,5.9,AN16-06-I_S29 ,anthrax,no,0.45037062539998024,0.39356039933627707,30467023
AN18-447-S,AN18-447,1447,2,NA,18/05/2018,zebra,swab,24,undetectable,23,24,6.9,Chapter 1,8 min,6,73.6,,,12,4.2,,,anthrax,14047951,1381539,13399928,NA,191.82,234,186,145,100.0,AN18-447-S_S30 ,anthrax,yes,0.9538706392127934,0.09834452013678009,889621069
